timestamp;c;h;l;o
2020-06-10T13:00:00Z;244.678537618;244.678537618;244.040731325;244.129334369
2020-06-10T14:00:00Z;244.057862227;244.501272402;243.911113368;244.501272402
2020-06-10T15:00:00Z;243.715733994;243.853615382;243.463392676;243.853615382
2020-06-10T16:00:00Z;243.541233266;243.807298358;243.382891491;243.509810595
2020-06-10T17:00:00Z;243.157893695;243.349995743;242.957698557;243.349995743
2020-06-10T18:00:00Z;244.574596887;245.900934233;243.01029818;243.269932973
2020-06-10T19:00:00Z;247.305267006;247.305267006;244.83216296;244.83216296
2020-06-10T20:00:00Z;248.125608139;248.520208374;247.493241566;247.493241566
2020-06-10T21:00:00Z;246.923564944;248.127305494;246.923564944;247.947855037
2020-06-10T22:00:00Z;247.077725237;247.498229391;246.83216341;247.101636578
2020-06-10T23:00:00Z;247.387706223;247.608467786;247.159301861;247.173403027
2020-06-11T00:00:00Z;248.888709114;249.082117085;247.664482996;247.664482996
2020-06-11T01:00:00Z;249.67059085;249.67059085;248.600725585;249.059540096
2020-06-11T02:00:00Z;249.858437735;249.877668855;249.269467876;249.7403186
2020-06-11T03:00:00Z;248.737280877;249.842379758;248.737280877;249.842379758
2020-06-11T04:00:00Z;248.753274274;248.865189862;248.678746236;248.697020132
2020-06-11T05:00:00Z;247.986108612;248.849750313;247.986108612;248.767045178
2020-06-11T06:00:00Z;246.849065642;247.935151287;246.599681307;247.91845859
2020-06-11T07:00:00Z;246.423098864;246.931369767;246.423098864;246.884389582
2020-06-11T08:00:00Z;247.06492227;247.06492227;246.591090306;246.591090306
2020-06-11T09:00:00Z;246.466894041;247.126238781;246.257150672;247.126238781
2020-06-11T10:00:00Z;246.27620386;246.585586198;245.857835119;246.585586198
2020-06-11T11:00:00Z;245.698256222;246.387334325;245.698256222;246.383811699
2020-06-11T12:00:00Z;245.249450908;245.960392137;245.249450908;245.960392137
2020-06-11T13:00:00Z;242.068964558;244.95169433;241.345082804;244.95169433
2020-06-11T14:00:00Z;242.03215138;242.358683413;241.564840233;241.916995967
2020-06-11T15:00:00Z;241.06766619;241.934980756;240.854831073;241.934980756
2020-06-11T16:00:00Z;232.657410108;241.041222777;232.657410108;240.883798348
2020-06-11T17:00:00Z;234.555125842;234.555125842;230.642397224;230.642397224
2020-06-11T18:00:00Z;234.451060667;235.052609348;233.817132297;234.876215449
2020-06-11T19:00:00Z;232.681404822;234.181786998;232.643572647;234.181786998
2020-06-11T20:00:00Z;232.626462296;232.809401393;229.942972879;232.809401393
2020-06-11T21:00:00Z;233.245381317;233.245381317;232.47830591;232.689872106
2020-06-11T22:00:00Z;231.882228412;233.536470338;231.882228412;233.536470338
2020-06-11T23:00:00Z;231.846179185;232.317219137;231.134465267;232.114527304
